Year,Units,Series,Value
2013,Total,PROXY-ECO1-5-2,652
2014,Total,PROXY-ECO1-5-2,536
2015,Total,PROXY-ECO1-5-2,396
2016,Total,PROXY-ECO1-5-2,477
2017,Total,PROXY-ECO1-5-2,682
2018,Total,PROXY-ECO1-5-2,766
