Year,Units,Series,Value
2006,Percent,,8.5
2007,Percent,,5.2
2008,Percent,,6.4
2009,Percent,,3.3
2010,Percent,,1.6
2011,Percent,,1.2
2012,Percent,,1.8
2013,Percent,,2.0
2014,Percent,,2.3
2015,Percent,,0.2
2016,Percent,,3.5
2017,Percent,,4.4
