Year,Units,Series,Value
2006,Total,PROXY-ENV2-4-2,766
2007,Total,PROXY-ENV2-4-2,1008
2008,Total,PROXY-ENV2-4-2,1409
2009,Total,PROXY-ENV2-4-2,1118
2010,Total,PROXY-ENV2-4-2,1157
2011,Total,PROXY-ENV2-4-2,1162
2012,Total,PROXY-ENV2-4-2,1026
2013,Total,PROXY-ENV2-4-2,1231
2014,Total,PROXY-ENV2-4-2,1141
2015,Total,PROXY-ENV2-4-2,1049
2016,Total,PROXY-ENV2-4-2,1300
2017,Total,PROXY-ENV2-4-2,1649
2018,Total,PROXY-ENV2-4-2,1653
