Year,Units,Series,Value
2006,Percent,PROXY-ENV1-1-1,2.2
2007,Percent,PROXY-ENV1-1-1,2.4
2008,Percent,PROXY-ENV1-1-1,2.4
2009,Percent,PROXY-ENV1-1-1,2.4
2010,Percent,PROXY-ENV1-1-1,2.4
2011,Percent,PROXY-ENV1-1-1,2.4
2012,Percent,PROXY-ENV1-1-1,2.4
2013,Percent,PROXY-ENV1-1-1,2.4
2014,Percent,PROXY-ENV1-1-1,2.4
2009,Percent,PROXY-ENV1-1-1,44.3
2007,Total,PROXY-ENV1-1-1,38879.0
