Year,Value,Units,Series
2006,8.5,Percent,
2007,5.2,Percent,
2008,6.4,Percent,
2009,3.3,Percent,
2010,1.6,Percent,
2011,1.2,Percent,
2012,1.8,Percent,
2013,2.0,Percent,
2014,2.3,Percent,
2015,0.2,Percent,
2016,3.5,Percent,
2017,4.4,Percent,
