Year,Value,Units,Series
2006,-18627,Total,
2007,-18322,Total,
2008,-25946,Total,
2009,-24936,Total,
2010,-22792,Total,
2011,-21243,Total,
2012,-22381,Total,
2013,-26000,Total,
2014,-24335,Total,
2015,-35749,Total,
2016,-35962,Total,
2017,-33370,Total,
2018,-31656,Total,
