Year,Value,Units,Series
2006,34.0,Percent,
2007,21.7,Percent,
2008,35.9,Percent,
2009,-0.6,Percent,
2010,-4.6,Percent,
2011,-15.3,Percent,
2012,-17.0,Percent,
2013,17.0,Percent,
2014,9.8,Percent,
2015,41.0,Percent,
2016,-23.9,Percent,
2017,19.2,Percent,
