Year,Value,Units,Series
2006,766,Total,PROXY-ENV2-4-2
2007,1008,Total,PROXY-ENV2-4-2
2008,1409,Total,PROXY-ENV2-4-2
2009,1118,Total,PROXY-ENV2-4-2
2010,1157,Total,PROXY-ENV2-4-2
2011,1162,Total,PROXY-ENV2-4-2
2012,1026,Total,PROXY-ENV2-4-2
2013,1231,Total,PROXY-ENV2-4-2
2014,1141,Total,PROXY-ENV2-4-2
2015,1049,Total,PROXY-ENV2-4-2
2016,1300,Total,PROXY-ENV2-4-2
2017,1649,Total,PROXY-ENV2-4-2
2018,1653,Total,PROXY-ENV2-4-2
