Year,Value,Units,Series
2006,2.2,Percent,PROXY-ENV1-1-1
2007,2.4,Percent,PROXY-ENV1-1-1
2008,2.4,Percent,PROXY-ENV1-1-1
2009,2.4,Percent,PROXY-ENV1-1-1
2010,2.4,Percent,PROXY-ENV1-1-1
2011,2.4,Percent,PROXY-ENV1-1-1
2012,2.4,Percent,PROXY-ENV1-1-1
2013,2.4,Percent,PROXY-ENV1-1-1
2014,2.4,Percent,PROXY-ENV1-1-1
2009,44.3,Percent,PROXY-ENV1-1-1
2007,38879.0,Total,PROXY-ENV1-1-1
