Year,Value,Units,Series
2010,71,Percent,
2011,76,Percent,
2012,60,Percent,
2013,66,Percent,
2014,66,Percent,
2015,42,Percent,
2010,75,Percent,
2011,70,Percent,
2012,84,Percent,
2013,71,Percent,
2014,81,Percent,
2015,79,Percent,
2016,58,Percent,
2017,68,Percent,
2010,10,Percent,
2011,7,Percent,
2012,12,Percent,
2013,10,Percent,
2014,22,Percent,
2015,20,Percent,
2016,21,Percent,
2017,23,Percent,
2018,99,Percent,
2018,23,Percent,
