Year,Value,Units,Series
2006,6056,Total,
2007,13166,Total,
2008,9176,Total,
2009,10154,Total,
2010,-3495,Total,
2011,-3220,Total,
2012,14201,Total,
2013,1948,Total,
2014,-1301,Total,
2015,-18856,Total,
2016,5165,Total,
2017,13991,Total,
2006,22368,Total,
2007,-185,Total,
2008,20401,Total,
2009,18680,Total,
2010,15650,Total,
2011,14470,Total,
2012,58305,Total,
2013,29403,Total,
2014,-22441,Total,
2015,-22734,Total,
2016,59011,Total,
2017,-27059,Total,
2018,6526,Total,
2018,11016,Total,
