Year,Units,Series,Value
2006,Percent,,34.0
2007,Percent,,21.7
2008,Percent,,35.9
2009,Percent,,-0.6
2010,Percent,,-4.6
2011,Percent,,-15.3
2012,Percent,,-17.0
2013,Percent,,17.0
2014,Percent,,9.8
2015,Percent,,41.0
2016,Percent,,-23.9
2017,Percent,,19.2
