Year,Units,Series,Value
2010,Percent,,71
2011,Percent,,76
2012,Percent,,60
2013,Percent,,66
2014,Percent,,66
2015,Percent,,42
2010,Percent,,75
2011,Percent,,70
2012,Percent,,84
2013,Percent,,71
2014,Percent,,81
2015,Percent,,79
2016,Percent,,58
2017,Percent,,68
2010,Percent,,10
2011,Percent,,7
2012,Percent,,12
2013,Percent,,10
2014,Percent,,22
2015,Percent,,20
2016,Percent,,21
2017,Percent,,23
2018,Percent,,99
2018,Percent,,23
