Year,Units,Series,Value
2009,Percent,,35
2010,Percent,,55
2016,Percent,,51
2010,Percent,,21
2016,Percent,,5
2009,Percent,,37
2010,Percent,,18
2016,Percent,,7
2009,Percent,,3
2010,Percent,,2
2016,Percent,,8
2009,Percent,,76
2010,Percent,,85
