Year,Units,Series,Value
2006,Total,PROXY-ENV1-3-2,113.5
2007,Total,PROXY-ENV1-3-2,117.5
2008,Total,PROXY-ENV1-3-2,130.1
2009,Total,PROXY-ENV1-3-2,135.2
2010,Total,PROXY-ENV1-3-2,142.2
2011,Total,PROXY-ENV1-3-2,143.2
2012,Total,PROXY-ENV1-3-2,145.5
2013,Total,PROXY-ENV1-3-2,148.4
2014,Total,PROXY-ENV1-3-2,150.5
2015,Total,PROXY-ENV1-3-2,151.6
2016,Total,PROXY-ENV1-3-2,162.7
2017,Total,PROXY-ENV1-3-2,173.1
2018,Total,PROXY-ENV1-3-2,178.5
