Year,Units,Series,Value
2006,Total,,6056
2007,Total,,13166
2008,Total,,9176
2009,Total,,10154
2010,Total,,-3495
2011,Total,,-3220
2012,Total,,14201
2013,Total,,1948
2014,Total,,-1301
2015,Total,,-18856
2016,Total,,5165
2017,Total,,13991
2006,Total,,22368
2007,Total,,-185
2008,Total,,20401
2009,Total,,18680
2010,Total,,15650
2011,Total,,14470
2012,Total,,58305
2013,Total,,29403
2014,Total,,-22441
2015,Total,,-22734
2016,Total,,59011
2017,Total,,-27059
2018,Total,,6526
2018,Total,,11016
