Year,Units,Series,Value
2006,Total,,816
2007,Total,,1755
2008,Total,,4860
2009,Total,,211
2010,Total,,-370
2011,Total,,-1265
2012,Total,,357
2013,Total,,689
2014,Total,,2106
2015,Total,,7369
2016,Total,,-4057
2017,Total,,8055
