Year,Units,Series,Value
2015,Percent,,25
2017,Percent,,65
2015,Percent,,30
2017,Percent,,73
2015,Percent,,37
2017,Percent,,85
2015,Percent,,43
2017,Percent,,75
2015,Percent,,5
2017,Percent,,64
2015,Percent,,19
2017,Percent,,41
2015,Percent,,37
2015,Percent,,44
