Year,Value,Units,Series
2013,652,Total,PROXY-ECO1-5-2
2014,536,Total,PROXY-ECO1-5-2
2015,396,Total,PROXY-ECO1-5-2
2016,477,Total,PROXY-ECO1-5-2
2017,682,Total,PROXY-ECO1-5-2
2018,766,Total,PROXY-ECO1-5-2
