Year,Value,Units,Series
2009,35,Percent,
2010,55,Percent,
2016,51,Percent,
2010,21,Percent,
2016,5,Percent,
2009,37,Percent,
2010,18,Percent,
2016,7,Percent,
2009,3,Percent,
2010,2,Percent,
2016,8,Percent,
2009,76,Percent,
2010,85,Percent,
