Year,Value,Units,Series
2015,25,Percent,
2017,65,Percent,
2015,30,Percent,
2017,73,Percent,
2015,37,Percent,
2017,85,Percent,
2015,43,Percent,
2017,75,Percent,
2015,5,Percent,
2017,64,Percent,
2015,19,Percent,
2017,41,Percent,
2015,37,Percent,
2015,44,Percent,
