Year,Value,Units,Series
2006,816,Total,
2007,1755,Total,
2008,4860,Total,
2009,211,Total,
2010,-370,Total,
2011,-1265,Total,
2012,357,Total,
2013,689,Total,
2014,2106,Total,
2015,7369,Total,
2016,-4057,Total,
2017,8055,Total,
